cve_muni,tamloc_mediana,grado_marginacion
01001,2,Muy bajo
01002,1.5,Bajo
01003,2,Bajo
01004,1.5,Bajo
01005,2,Muy bajo
01006,2,Muy bajo
01007,2,Bajo
01008,1.5,Bajo
01009,1.5,Bajo
01010,1.5,Bajo
01011,2,Muy bajo
02001,2.5,Muy bajo
02002,2.5,Muy bajo
02003,2,Muy bajo
02004,2.5,Muy bajo
02005,2,Muy bajo
03001,2,Bajo
03002,1.5,Bajo
03003,2,Muy bajo
03008,2.5,Muy bajo
03009,1.5,Muy bajo
04001,1.5,Medio
04002,2,Muy bajo
04003,2,Muy bajo
04004,2,Medio
04005,1.5,Medio
04006,1.5,Alto
04007,1.5,Alto
04008,1.5,Medio
04009,2,Medio
04010,1.5,Alto
04011,1.5,Alto
05001,1,Bajo
05002,3,Muy bajo
05003,2,Muy bajo
05004,1.5,Bajo
05005,1,Bajo
05006,2,Muy bajo
05007,1.5,Bajo
05008,1,Bajo
05009,2,Bajo
05010,2.5,Muy bajo
05011,1.5,Bajo
05012,1,Bajo
05013,1,Bajo
05014,1.5,Medio
05015,1,Medio
05016,1,Bajo
05017,2,Muy bajo
05018,3,Muy bajo
05019,1.5,Muy bajo
05020,2,Muy bajo
05021,1.5,Muy bajo
05022,2,Muy bajo
05023,1.5,Medio
05024,2,Bajo
05025,3,Muy bajo
05026,1,Bajo
05027,2.5,Muy bajo
05028,2,Muy bajo
05029,1,Muy bajo
05030,3,Muy bajo
05031,2,Muy bajo
05032,2,Muy bajo
05033,2,Bajo
05034,1.5,Bajo
05035,2,Muy bajo
05036,1.5,Medio
05037,1.5,Muy bajo
05038,1.5,Muy bajo
06001,2,Medio
06002,3,Muy bajo
06003,1.5,Bajo
06004,1.5,Bajo
06005,1.5,Muy bajo
06006,1.5,Medio
06007,2,Muy bajo
06008,1.5,Bajo
06009,2,Bajo
06010,3,Muy bajo
07001,1.5,Alto
07002,1.5,Alto
07003,1.5,Alto
07004,1.5,Muy alto
07005,1.5,Muy alto
07006,1.5,Alto
07007,1.5,Muy alto
07008,1.5,Alto
07009,2,Medio
07010,1,Muy alto
07011,1,Alto
07012,2,Alto
07013,1.5,Alto
07014,1.5,Muy alto
07015,2,Alto
07016,1.5,Medio
07017,2,Medio
07018,1.5,Alto
07019,2.5,Medio
07020,1.5,Alto
07021,1.5,Alto
07022,1,Muy alto
07023,1.5,Muy alto
07024,1.5,Muy alto
07025,1.5,Alto
07026,1.5,Muy alto
07027,2,Medio
07028,1.5,Alto
07029,1.5,Alto
07030,1.5,Alto
07031,1.5,Muy alto
07032,1.5,Alto
07033,1,Alto
07034,2,Alto
07035,1.5,Alto
07036,1,Alto
07037,1.5,Alto
07038,1,Alto
07039,1.5,Muy alto
07040,2,Alto
07041,1.5,Alto
07042,1.5,Alto
07043,1.5,Alto
07044,1.5,Alto
07045,1,Muy alto
07046,1.5,Alto
07047,1.5,Alto
07048,1.5,Medio
07049,1,Alto
07050,1,Alto
07051,2,Alto
07052,2,Muy alto
07053,1,Alto
07054,1.5,Alto
07055,1.5,Medio
07056,1,Muy alto
07057,2,Alto
07058,2,Muy alto
07059,2,Muy alto
07060,1.5,Muy alto
07061,2,Alto
07062,1.5,Alto
07063,1,Medio
07064,1.5,Muy alto
07065,2,Alto
07066,1.5,Muy alto
07067,1,Muy alto
07068,1.5,Alto
07069,2,Alto
07070,1,Alto
07071,1.5,Alto
07072,1.5,Alto
07073,1.5,Alto
07074,2,Bajo
07075,2,Muy alto
07076,1.5,Muy alto
07077,1.5,Muy alto
07078,3,Bajo
